Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Jerry Boone,Canada,1932,Lock,2.0,0.0,2.0,0.0,3.0,1.0,,
Eric Cameron,Canada,1932,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,,
Albert du Temple,Canada,1932,Flanker,2.0,0.0,2.0,0.0,0.0,0.0,,
Campbell Forbes,Canada,1932,No. 8,2.0,0.0,2.0,0.0,5.0,1.0,,
Brian Hunnings,Canada,1932,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
A.B. Mitchell,Canada,1932,Flanker,2.0,0.0,2.0,0.0,0.0,0.0,,
Bud Murray,Canada,1932,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
George Niblo,Canada,1932,Centre,2.0,0.0,2.0,0.0,3.0,1.0,,
Johnny Rowland,Canada,1932,Lock,2.0,0.0,2.0,0.0,0.0,0.0,,
Ivor Saundry,Canada,1932,Scrum-half,2.0,0.0,2.0,0.0,0.0,0.0,,
Sydney Selkirk,Canada,1932,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Frank Skillings,Canada,1932,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
Tubby Suter,Canada,1932,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
William Wharton,Canada,1932,Prop,2.0,0.0,2.0,0.0,0.0,0.0,,
Pete Wilson,Canada,1932,Fly-half,2.0,0.0,2.0,0.0,0.0,0.0,,
Jack Bain,Canada,1932,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
G.E.R. Cox,Canada,1932,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Len Leroy,Canada,1932,Centre,1.0,0.0,1.0,0.0,2.0,0.0,,
Ernest Pinkham,Canada,1932,Wing,1.0,0.0,1.0,0.0,0.0,0.0,London,England
Greg Bjarnason,Canada,1962,Flanker,1.0,0.0,0.0,1.0,0.0,0.0,,
Don Burgess,Canada,1962,Fullback,2.0,0.0,1.0,1.0,3.0,0.0,,
Mike Chambers,Canada,1962,Wing,3.0,0.0,2.0,1.0,3.0,1.0,,
R.M. Clark,Canada,1962,NA,1.0,0.0,0.0,1.0,0.0,0.0,,
P. Frize,Canada,1962,NA,2.0,0.0,1.0,1.0,0.0,0.0,,
Peter Grantham,Canada,1962,Prop,3.0,0.0,2.0,1.0,0.0,0.0,,
J.M.S. Lecky,Canada,1962,NA,2.0,0.0,1.0,1.0,0.0,0.0,,
R. McKee,Canada,1962,NA,2.0,0.0,1.0,1.0,0.0,0.0,,
Buzz Moore,Canada,1962,Prop,2.0,0.0,1.0,1.0,0.0,0.0,,
V.J.P. Moroney,Canada,1962,NA,1.0,0.0,0.0,1.0,0.0,0.0,,
George Puil,Canada,1962,Wing,2.0,0.0,1.0,1.0,0.0,0.0,,
W.G. Stover,Canada,1962,NA,1.0,0.0,0.0,1.0,0.0,0.0,,
J.D.B. Stubbs,Canada,1962,NA,2.0,0.0,1.0,1.0,0.0,0.0,,
D.N. Ure,Canada,1962,NA,2.0,0.0,1.0,1.0,0.0,0.0,,
R.S. Wilson,Canada,1962,NA,1.0,0.0,0.0,1.0,0.0,0.0,,
W. Granleese,Canada,1962,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
John Newton,Canada,1962,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
J.M. Ward,Canada,1962,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
G.J.M. Wessels,Canada,1962,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
B.N. Williams,Canada,1962,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Brian Barker,Canada,1966,Prop,2.0,0.0,2.0,0.0,0.0,0.0,,
Al Bianco,Canada,1966,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Barrie Burnham,Canada,1966,Fullback,4.0,0.0,4.0,0.0,4.0,0.0,,
Tim Cummings,Canada,1966,Centre,2.0,0.0,2.0,0.0,0.0,0.0,,
Ted Hunt,Canada,1966,Fly-half,2.0,0.0,2.0,0.0,0.0,0.0,,
Jerry Lorenz,Canada,1966,Centre,3.0,0.0,3.0,0.0,0.0,0.0,,
Ross McDonald,Canada,1966,Scrum-half,3.0,0.0,3.0,0.0,0.0,0.0,,
Brian McKee,Canada,1966,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
Dave Milne,Canada,1966,Lock,2.0,0.0,2.0,0.0,0.0,0.0,,
Geoff Robinson,Canada,1966,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
Jim Ryan,Canada,1966,Wing,2.0,0.0,2.0,0.0,3.0,1.0,,
D. Steen,Canada,1966,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
R.W. Wickland,Canada,1966,No. 8,2.0,0.0,2.0,0.0,0.0,0.0,,
Tom Bourne,Canada,1967,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
R. Brewer,Canada,1967,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Ieuan Edwards,Canada,1967,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Tommy Fraine,Canada,1967,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Gary Fumano,Canada,1967,Hooker,2.0,0.0,2.0,0.0,0.0,0.0,,
T.K. Kariya,Canada,1967,Fly-half,3.0,0.0,3.0,0.0,0.0,0.0,,
M.G. McKenna,Canada,1967,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
L.W. Whitty,Canada,1967,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Tony Wooler,Canada,1967,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
C. Burford,Canada,1970,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
A.E. Foster,Canada,1970,Flanker,5.0,1.0,4.0,0.0,0.0,0.0,,
R.O. Jackson,Canada,1970,Lock,2.0,0.0,2.0,0.0,0.0,0.0,,
O. Johnson,Canada,1970,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
G. MacDonald,Canada,1970,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Spence McTavish,Canada,1970,Centre,22.0,7.0,14.0,1.0,20.0,5.0,,
K. Myhre,Canada,1970,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Doug Schick,Canada,1970,Centre,2.0,0.0,2.0,0.0,0.0,0.0,,
W. Thomson,Canada,1970,NA,1.0,0.0,1.0,0.0,0.0,0.0,,
Pat Aldous,Canada,1971,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Mike Ashton,Canada,1971,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,,
G. Henrikson,Canada,1971,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
D.V. Pahl,Canada,1971,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Dave Slater,Canada,1971,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Andy Stanton,Canada,1971,Wing,3.0,0.0,3.0,0.0,4.0,1.0,,
F.J. Sturrock,Canada,1971,Flanker,1.0,0.0,1.0,0.0,0.0,0.0,,
Ken Wilke,Canada,1971,No. 8,4.0,0.0,4.0,0.0,0.0,0.0,,
S. Barber,Canada,1973,Centre,2.0,0.0,2.0,0.0,0.0,0.0,,
Tim Blackwell,Canada,1973,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
N. Browne,Canada,1973,No. 8,2.0,0.0,2.0,0.0,0.0,0.0,,
